Home,Home_Score,Away,Away_Score,Date,Competition,Kick_Off,AET,Pens,Match,Hospitality,Ball,Mascot
Brora Rangers,vs,Nairn County,,19-11-2016,League,,,,,,,
Forres Mechanics,vs,Brora Rangers,,26-11-2016,League,,,,,,,
Brora Rangers,vs,Cove Rangers,,03-12-2016,League,,,,,,,
Rothes,vs,Brora Rangers,,10-12-2016,League,,,,,,,
Brora Rangers,vs,Turriff Utd,,17-12-2016,League,,,,,,,
Lossiemouth,vs,Brora Rangers,,24-12-2016,League,,,,,,,
Brora Rangers,vs,Huntly,,31-12-2016,League,,,,,,,
Inverurie Loco Works,vs,Brora Rangers,,07-01-2017,League,,,,,,,
Brora Rangers,vs,Wick Academy,,14-01-2017,League,,,,,,,
Brora Rangers,vs,Deveronvale,,21-01-2017,League,,,,,,,
Fraserburgh,vs,Brora Rangers,,28-01-2017,League,,,,,,,
Brora Rangers,vs,Buckie Thistle,,04-02-2017,League,,,,,,,
Breedon Aggregates SHFL Cup 1st Round,vs,,,11-02-2017,,,,,,,,
Keith,vs,Brora Rangers,,18-02-2017,League,,,,,,,
Breedon Aggregates SHFL Cup 2nd Round,vs,,,25-02-2017,,,,,,,,
Brora Rangers,vs,Formartine Utd,,04-03-2017,League,,,,,,,
Breedon Aggregates SHFL Cup Semi Final,vs,,,11-03-2017,,,,,,,,
Clachnacuddin,vs,Brora Rangers,,18-03-2017,League,,,,,,,
Brora Rangers,vs,Strathspey Thistle,,01-04-2017,League,,,,,,,
Breedon Aggregates SHFL Cup Final,vs,,,08-04-2017,,,,,,,,
Fort William,vs,Brora Rangers,,15-04-2017,League,,,,,,,
