name,link,menu
Home, /, main
News, /news/, main
Fixtures, /fixtures/, main
Results, /results/, main
Squad, /squad/, main
Find Us, /brora/, main

Tickets, /tickets/, main
Sponsorship, /sponsorship/, main
First Team, /squad/ , secondary
Youth Teams, /youth/ , secondary
Ladies Team, /ladies/ , secondary
Back Room, /backroom/ , secondary
Sponsors, /sponsors/ , secondary
